game_date,player_id,player_name,team_abbr,signal_fair_value,forward_delta_game_score,signal_projection
2024-04-01,1641730,Noah Clowney,BKN,64.26642845530151,10.81529411764706,0.1312681012694115
2026-03-25,1641738,Kobe Brown,IND,67.29089939329052,10.79056603773585,0.40859624263688815
2026-02-09,1642914,Javon Small,MEM,76.576706334997,10.78,0.46274209879760453
2021-01-30,1629673,Jordan Poole,GSW,70.46103498806305,10.76,0.09590893727475971
2022-11-04,1628975,Jevon Carter,MIL,66.99868663042031,10.76,0.12111574304908374
2021-12-17,1630202,Payton Pritchard,BOS,66.96289508357478,10.745217391304344,0.13987696442888492
2025-02-12,1630314,Brandon Williams,DAL,64.55005925179647,10.73111111111111,0.19635427538388706
2021-12-13,1629622,Max Strus,MIA,73.13175660370302,10.722857142857142,0.06521536909130342
2022-02-27,1630570,Trendon Watford,POR,70.71847058071612,10.69142857142857,0.29176512519044934
2020-01-17,1629018,Gary Trent Jr.,POR,63.27651997720034,10.690000000000001,0.35798126439884714
2022-02-25,1630193,Immanuel Quickley,NYK,77.1475465453449,10.672142857142859,-0.4457777558956135
2023-03-19,1631101,Shaedon Sharpe,POR,74.55136857252033,10.664285714285715,-0.0005572747866004063
2025-03-20,1641824,Matas Buzelis,CHI,74.00875994065504,10.643235294117648,0.1542672103064635
2019-03-29,1627936,Alex Caruso,LAL,73.04065491288219,10.628421052631577,0.15030285898873094
2022-03-05,1630570,Trendon Watford,POR,77.7755983124894,10.617297297297297,0.4394001778254961
2026-01-25,1630611,Gui Santos,GSW,69.14955560883979,10.61611111111111,0.29426634418507114
2025-02-02,1630314,Brandon Williams,DAL,62.64480589696476,10.594117647058823,0.10299124591260729
2026-03-09,1642262,Cody Williams,UTA,75.1981977632724,10.577647058823526,0.6010483021752159
2023-03-20,1629656,Quentin Grimes,NYK,75.29830174498859,10.573548387096773,-0.2622978550179046
2021-03-29,1628392,Isaiah Hartenstein,CLE,69.00762399203515,10.572258064516129,-0.021033062658788536
2020-01-15,1629008,Michael Porter Jr.,DEN,75.13345022620982,10.56967741935484,0.27848775944802673
