game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score,forward_mean_game_score
2022-02-27,1628369,Jayson Tatum,BOS,2021-22,129.0095381018761,127.149051052451,11.783728813559325,29.860000000000003
2024-01-16,1626164,Devin Booker,PHX,2023-24,132.25609096325124,133.38341202297445,11.767096774193547,32.28
2020-01-09,201566,Russell Westbrook,HOU,2019-20,123.89134475121729,122.0844324405321,11.683125000000004,27.880000000000003
2021-12-23,2544,LeBron James,LAL,2021-22,139.42496869966115,139.97446057781025,11.681904761904757,33.019999999999996
2025-12-15,202695,Kawhi Leonard,LAC,2025-26,124.97916453987317,124.12235373844194,11.671249999999997,31.139999999999997
2020-01-12,202695,Kawhi Leonard,LAC,2019-20,131.74892354124825,133.31040192571652,11.643333333333342,31.100000000000005
2019-02-13,1626157,Karl-Anthony Towns,MIN,2018-19,137.3236417290738,134.55937905366306,11.618245614035086,31.319999999999993
2026-03-23,1641705,Victor Wembanyama,SAS,2025-26,137.26552746822298,134.4537917807912,11.61087719298246,32.96
2026-01-19,203954,Joel Embiid,PHI,2025-26,125.5461405833673,126.1839244651578,11.570434782608707,29.44000000000001
2020-01-31,203999,Nikola Jokić,DEN,2019-20,129.96968028015175,127.22437343688676,11.544081632653068,29.440000000000005
2023-01-15,203081,Damian Lillard,POR,2022-23,136.16243417422513,137.65390053601078,11.534838709677427,33.28000000000001
2019-01-07,201935,James Harden,HOU,2018-19,161.2834321317485,156.7693140857588,11.508333333333336,36.300000000000004
2020-01-15,201566,Russell Westbrook,HOU,2019-20,125.60584488625275,128.03076075517922,11.46294117647059,28.26
2021-01-06,203897,Zach LaVine,CHI,2020-21,125.2335672358815,122.06529006788212,11.431111111111115,26.820000000000004
2020-01-18,201566,Russell Westbrook,HOU,2019-20,128.03888510213858,130.66202984072726,11.411428571428573,28.520000000000003
2026-01-16,203954,Joel Embiid,PHI,2025-26,124.17117409099484,123.7258644028882,11.407272727272737,28.880000000000006
2024-04-02,1628973,Jalen Brunson,NYK,2023-24,132.7832974911899,129.6935262447353,11.388571428571431,31.839999999999996
2022-12-19,1629029,Luka Dončić,DAL,2022-23,147.20070728912805,144.3050104912053,11.333571428571432,37.480000000000004
2021-03-20,1628368,De'Aaron Fox,SAC,2020-21,126.3364019642157,121.82428969597164,11.162926829268294,28.28
2021-12-19,2544,LeBron James,LAL,2021-22,137.5603025443691,136.01375966742708,11.08421052631579,31.6
2022-03-03,1628368,De'Aaron Fox,SAC,2021-22,123.97343442846565,124.70459799670432,11.053584905660381,26.080000000000002
2019-03-23,1626164,Devin Booker,PHX,2018-19,129.39744234670871,127.930891651337,10.99796610169491,28.119999999999997
2020-02-21,203078,Bradley Beal,WAS,2019-20,134.5762072158671,127.90232355822177,10.992340425531914,31.22
2020-01-23,203078,Bradley Beal,WAS,2019-20,124.58505112875694,129.7407724198147,10.991351351351355,30.440000000000005
2020-01-28,203999,Nikola Jokić,DEN,2019-20,129.26410418388267,128.4294869314306,10.96765957446809,28.840000000000003
2023-01-20,202695,Kawhi Leonard,LAC,2022-23,125.90074033773213,128.26710671035374,10.96434782608696,27.360000000000003
2023-01-25,203507,Giannis Antetokounmpo,MIL,2022-23,138.4130858159393,138.45818256432358,10.95297297297298,34.18000000000001
